ItemName,Author1,Author2,Copyright,LastRead,Genre,,,
The Lost King ,Margaret Weis,,,7/18/2009,SF,,,
Integral Trees,Larry Niven,,,7/20/2009,SF,,,
Footfall,Larry Niven,,,7/22/2009,SF,,,
Celestis,Paul Park,,,7/23/2009,SF,,,
Saturn,Ben Bova,,,7/25/2009,SF,,,
Maximum Ride,James Patterson,,,8/3/2009,SF,,,
Ender''s Game,Orson Scott Card,,,8/11/2009,SF,,,
Star Wars: The New Rebellion,Kristine Rusch,,,8/16/2009,SF,,,
Nemesis,Isaac Asimov,,,8/17/2009,SF,,,
The Final Planet,Anthony M Greely,,,8/19/2009,SF,,,
The Guns of the South,Harry Turtledov,,,8/23/2009,SF,,,
Dune,Frank Herbert,,,10/20/2009,SF,,,
Bright Shark,Bob Ballard,,,10/24/2009,SF,,,
The Trudeau Vector,Juris Jurgevics,,,10/27/2009,SF,,,
The Companions,Sheri S. Tepper,,,10/30/2009,SF,,,
Blue Light,Walter Mosley,,,11/11/2009,SF,,,
Deep Six,Jack McDevitt,,,11/12/2009,SF,,,
Dune: Messiah,Frank Herbert,,,11/15/2009,SF,,,
Heretics of Dune,Frank Herbert,,,11/17/2009,SF,,,
Cosm,Gregory Benford,,,11/20/2009,SF,,,
Diaspora,Greg Egan,,1998,11/30/2009,SF,,,
Culture: The Player of Games,Ian M. Banks,,1989,12/2/2009,SF,,,
Red Star Rogue (K111 Sub Story),Kenneth Sewell,,2005,12/5/2009,SF,,,
Blue Mars,Kim Stanley Robinson,,,12/15/2009,SF,,,
Nothing To Loose,Lee Child,,,12/17/2009,SF,,,
All Tomorrows Parties,William Gibson,,,1/28/2010,SF,,,
Cachalot,Allan Dean Foster,,,1/29/2010,SF,,,
Julian Comstock,Robert Charles Wilson,,,2/12/2010,SF,,,
Octagonal Raven,"L.E. Modesitt, Jr. ",,,2/16/2010,SF,,,
The Road to Damascus,John Ringo,,2004,3/4/2010,SF,,,
Adiamante,"L.E. Modesitt, Jr. ",,1996,3/6/2010,SF,,,
Commonwealth 1: Dream Void,Peter F. Hamilton,,2007,3/10/2010,SF,,,
Beyond the Blue Event Horizon,Frederick Pohl,,1980,3/12/2010,SF,,,
Destiny''s Road,Larry Niven,,1997,3/15/2010,SF,,,
The Last Ship,William Brinkley,,1985,3/19/2010,SF,,,
Inherit the Stars,James P. Hogan,,,3/25/2010,SF,,,
Gentle Giants of Ganymead,James P. Hogan,,,3/25/2010,SF,,,
Giant''s Star,James P. Hogan,,,3/25/2010,SF,,,
The Xenogenisis Trilogy ,Octavia E. Butler,,,4/2/2010,SF,,,
Prelude to Foundation,Isaac Asimov,,1987,4/13/2010,SF,,,
Folk of the Fringe,Orson Scott Card,,,4/25/2010,SF,,,
Dune: Butlerian Jihad,Kevin J. Anderson,,,4/27/2010,SF,,,
Dune: House Harkonen,Kevin J. Anderson,,,5/1/2010,SF,,,
Rendezvous with Rama,Arthur C. Clarke,,1973,5/25/2010,SF,,,
King''s Sacrifice,Margaret Weis,,,5/28/2010,SF,,,
2010 ACC,Arthur C. Clarke,,,8/3/2010,SF,,,
Sandstorm,James Rollins,,,8/17/2010,SF,,,
Rama II,Arthur C. Clarke,,,8/23/2010,SF,,,
Maximum Ride: Angel Express,James Patterson,,,8/30/2010,SF,,,
Polaris,Jack McDevitt,,,11/6/2010,SF,,,
Inherit the Stars,James P. Hogan,,,11/7/2010,SF,,,
Gentle Giants of Ganymead,James P. Hogan,,,11/7/2010,SF,,,
The Diamond Age,Neal Stephenson,,,11/10/2010,SF,,,
The Light of Other Days,Arthur C. Clarke,Stephen Baxter,,11/17/2010,SF,,,
3001 ACC,Arthur C. Clarke,,,11/18/2010,SF,,,
Meg,Steve Alten,,,11/19/2010,SF,,,
Domain,Steve Alten,,,11/22/2010,SF,,,
Zig Zag,Jose Carlos Samoza,,,11/23/2010,SF,,,
Spin State,Chris Moriarty,,,11/25/2010,SF,,,
The Labrynth Key,Howard Hendrix,,,12/1/2010,SF,,,
Prey,Michael Crichton,,,12/3/2010,SF,,,
Commonweath 2: Temporal Void,Peter F. Hamilton,,,12/15/2010,SF,,,
Shade''s Children,Garth Nix,,,12/16/2010,SF,,,
Darwins Radio,Greg Bear,,,12/23/2010,SF,,,
Eon,Greg Bear,,,12/26/2010,SF,,,
The Globe,John Varley,,,1/5/2011,SF,,,
Culture: Excession,Ian M. Banks,,,3/2/2011,SF,,,
In Death Ground,David Weber,,,3/3/2011,SF,,,
Foundations Fear,Gregory Benford,,,3/4/2011,SF,,,
Swan''s Song,Robert McGammon,,,3/5/2011,SF,,,
Off Armageddon Reef,David Weber,,,3/6/2011,SF,,,
By Schism Rent Asunder,David Weber,,,3/7/2011,SF,,,
A Deepness in the Sky,Verner Vinge,,,3/8/2011,SF,,,
King''s Test,Margaret Weis,,,3/9/2011,SF,,,
Ghost Legion,Margaret Weis,,,3/10/2011,SF,,,
The Engines of Dawn,Paul Cook,,,3/12/2011,SF,,,
Bone Wars,Brett Davis,,1998,3/15/2011,SF,,,
Against all Enemies,John G. Henry,,2006,3/16/2011,SF,,,
Commonweath 2: Evolutionary Void,Peter F. Hamilton,,,3/17/2011,SF,,,
